trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield,label
2019-10-29,603596.SH,16.44,16.62,16.21,16.32,16.4,-0.08,-0.4878,20816.82,34118.359,0.19,1.0
2019-10-29,601808.SH,14.08,14.41,14.02,14.26,14.35,-0.09,-0.6272,79460.23,112851.782,0.19,1.0
2019-10-29,002888.SZ,18.46,18.66,18.25,18.3,18.56,-0.26,-1.4009,15860.03,29308.281000000006,0.19,1.0
2019-10-29,300450.SZ,33.15,33.38,32.32,32.4,33.44,-1.04,-3.11,91108.92,297603.976,0.19,1.0
2019-10-29,601100.SH,38.87,39.28,38.31,39.16,38.5,0.66,1.7143,34612.35,134508.1,0.19,1.0
2019-10-29,600132.SH,42.58,44.3,41.76,43.49,42.26,1.23,2.9106,40573.92,175324.47600000002,0.18,1.0
2019-10-29,601872.SH,5.53,5.66,5.4,5.53,5.58,-0.05,-0.8961,934647.72,515230.713,0.18,1.0
2019-10-29,300037.SZ,25.52,25.69,25.02,25.43,25.52,-0.09,-0.3527,34635.79,88098.07699999998,0.18,1.0
2019-10-29,300315.SZ,4.39,4.72,4.38,4.61,4.43,0.18,4.0632,833124.13,381118.969,0.18,1.0
2019-10-29,300618.SZ,55.2,56.55,55.05,55.3,56.11,-0.81,-1.4436,53365.24,297840.369,0.18,1.0
2019-10-29,300360.SZ,10.23,10.43,10.08,10.1,10.3,-0.2,-1.9417,33893.98,34605.31,0.18,1.0
2019-10-29,002045.SZ,9.19,9.74,9.05,9.39,9.24,0.15,1.6234,423833.96,398632.902,0.18,1.0
2019-10-29,603501.SH,104.49,104.49,99.5,101.71,104.75,-3.04,-2.9021,34562.27,351229.67299999995,0.18,1.0
2019-10-29,002047.SZ,5.64,5.66,5.52,5.57,5.6,-0.03,-0.5357,170517.02,95385.809,0.17,1.0
2019-10-29,002528.SZ,4.72,4.73,4.49,4.5,4.62,-0.12,-2.5974,145253.25,66535.77799999999,0.17,1.0
2019-10-29,000710.SZ,31.7,31.7,30.89,30.89,31.59,-0.7,-2.2159,15939.0,49494.07900000001,0.17,1.0
2019-10-29,300003.SZ,27.62,29.56,27.52,29.33,27.5,1.83,6.6545,399082.62,1155947.3390000002,0.17,1.0
2019-10-29,600101.SH,6.22,6.24,6.14,6.17,6.22,-0.05,-0.8039,21371.35,13226.258,0.17,1.0
