,5折交叉验证准确率,训练准确率,测试准确率
84,59.06,59.53,58.6
85,57.31,61.36,59.48
86,57.31,59.24,58.02
87,57.31,60.19,56.85
88,57.31,59.24,55.98
89,57.31,58.44,56.56
90,57.31,59.9,55.39
91,57.31,61.43,50.44
92,57.31,59.46,60.93
93,57.31,59.9,60.35
94,57.31,58.66,55.1
95,57.31,59.31,55.98
96,59.06,61.29,59.77
97,57.89,59.24,60.06
98,59.06,61.43,57.43
99,57.31,61.21,54.52
100,59.06,59.68,56.56
101,58.19,61.58,58.89
102,58.48,60.77,57.73
103,58.19,59.82,59.18
104,58.48,60.34,57.43
105,58.19,59.31,55.98
106,58.48,58.44,59.18
107,58.19,60.92,58.89
108,58.48,61.58,57.14
109,58.19,60.26,58.89
110,59.06,60.19,59.18
111,57.31,59.02,60.06
112,59.06,58.22,56.27
113,57.31,60.7,59.18
114,59.06,58.66,60.93
115,57.31,61.21,53.06
116,59.06,59.9,55.98
117,57.31,60.41,57.43
118,59.06,59.82,56.85
119,58.19,60.56,54.81
120,58.48,60.77,58.6
121,58.19,61.21,52.77
122,58.48,59.53,58.6
123,58.19,58.58,60.64
124,58.48,59.75,56.85
125,58.19,60.04,55.98
126,58.48,59.61,57.43
127,58.19,60.7,57.73
128,58.48,60.99,52.48
129,58.19,59.82,58.89
130,58.48,59.9,57.14
131,58.19,62.09,52.48
132,58.48,60.92,59.77
133,58.19,62.02,51.6
134,58.48,59.9,58.6
135,58.19,60.77,58.6
136,59.06,57.49,55.69
137,58.19,60.19,58.31
138,59.06,60.34,54.52
139,57.31,58.73,59.18
140,57.31,60.34,60.64
141,57.31,59.82,59.77
142,57.31,60.56,53.64
143,57.31,60.26,57.73
144,57.31,59.9,58.6
145,57.31,60.26,55.1
146,57.31,59.46,58.02
147,57.31,60.85,53.35
148,57.31,60.04,65.31
149,57.31,59.09,57.14
150,57.31,60.12,56.56
151,57.31,60.85,53.94
152,57.31,60.7,56.85
153,57.31,59.9,60.35
154,57.31,61.29,54.52
155,57.31,60.34,56.85
156,57.31,59.02,62.97
157,57.31,60.56,59.48
158,57.31,60.19,58.02
159,57.31,60.41,58.02
160,57.31,58.51,58.89
161,57.31,59.97,60.35
162,57.31,60.7,52.19
163,57.31,59.68,60.64
164,59.06,60.92,56.85
165,57.31,59.82,57.43
166,59.06,59.97,59.48
167,57.31,60.19,58.02
168,59.06,61.94,58.02
169,58.19,60.34,61.52
170,59.06,58.73,57.73
171,58.19,59.46,54.81
172,59.06,61.07,60.35
173,57.31,60.48,62.68
174,59.06,60.19,59.48
175,58.19,60.48,59.18
176,58.48,59.09,56.56
177,58.19,60.85,56.27
178,58.48,59.31,58.31
179,58.19,59.39,58.31
180,58.48,60.63,55.1
181,58.19,60.34,60.06
182,59.06,61.29,55.1
183,58.19,59.39,54.52
184,58.48,59.75,55.1
185,58.19,59.82,55.69
186,59.06,60.34,58.89
187,58.19,60.77,58.31
188,59.06,59.53,60.93
189,58.19,59.09,55.1
190,59.06,60.41,59.18
191,57.31,60.63,53.94
192,59.06,59.31,58.89
193,58.19,60.77,60.35
194,59.06,60.48,53.94
195,58.19,60.63,55.1
196,59.06,60.56,54.81
197,58.19,60.63,58.6
198,59.06,60.34,58.6
199,58.19,60.12,58.6
