,5折交叉验证准确率,训练准确率,测试准确率
161,62.28,60.19,60.06
162,62.28,59.97,56.85
163,62.28,59.39,60.35
164,62.28,61.29,56.27
165,62.28,58.14,59.48
166,62.28,59.68,55.1
167,62.28,58.58,55.39
168,62.28,60.12,56.27
169,62.28,60.99,55.98
170,62.28,61.21,55.98
171,62.28,60.56,58.02
172,62.28,61.72,54.23
173,62.28,61.8,57.43
174,62.28,59.75,57.14
175,62.28,59.9,55.1
176,62.28,58.95,59.18
177,62.28,61.07,56.85
178,62.28,59.61,60.06
179,62.28,60.34,57.73
180,62.28,59.31,59.18
181,62.28,60.26,56.56
182,62.28,60.41,54.52
183,62.28,60.19,58.31
184,62.28,59.82,58.6
185,62.28,60.19,56.85
186,62.28,60.41,59.18
187,62.28,60.12,60.64
188,62.28,59.53,61.81
189,62.28,60.56,55.39
190,62.28,60.77,56.85
191,62.28,58.29,66.76
192,62.28,60.41,54.23
193,62.28,59.75,57.73
194,62.28,59.75,56.85
195,62.28,59.9,60.93
196,62.28,59.09,59.77
197,62.28,59.53,55.39
198,62.28,60.41,58.31
199,62.28,59.82,59.77
