ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300256.SZ,20181128,3.25,3.41,3.19,3.4,3.25,0.15,4.6154,174540.23,58215.37
300256.SZ,20181129,3.4,3.43,3.21,3.24,3.4,-0.16,-4.7059,136213.5,45468.992
300256.SZ,20181130,3.22,3.42,3.22,3.34,3.24,0.1,3.0864,193930.35,64546.414
300256.SZ,20181203,3.42,3.5,3.38,3.43,3.34,0.09,2.6946,231135.5,79453.245
300256.SZ,20181204,3.42,3.77,3.41,3.77,3.43,0.34,9.9125,784776.09,289969.198
300256.SZ,20181205,3.62,3.93,3.61,3.73,3.77,-0.04,-1.061,887358.6,337371.876
300256.SZ,20181206,3.64,3.71,3.53,3.57,3.73,-0.16,-4.2895,402658.99,145041.367
300256.SZ,20181207,3.65,3.69,3.46,3.52,3.57,-0.05,-1.4006,278201.9,98442.872
300256.SZ,20181210,3.48,3.56,3.47,3.5,3.52,-0.02,-0.5682,167119.8,58820.827
300256.SZ,20181211,3.53,3.54,3.47,3.53,3.5,0.03,0.8571,151312.06,53077.011
300256.SZ,20181212,3.54,3.64,3.51,3.57,3.53,0.04,1.1331,209926.18,75152.049
300256.SZ,20181213,3.55,3.61,3.51,3.56,3.57,-0.01,-0.2801,193737.02,69150.216
300256.SZ,20181214,3.56,3.56,3.37,3.37,3.56,-0.19,-5.3371,182572.5,63102.854
300256.SZ,20181217,3.37,3.41,3.34,3.41,3.37,0.04,1.1869,93555.67,31676.872
300256.SZ,20181218,3.37,3.41,3.3,3.34,3.41,-0.07,-2.0528,113012.67,37866.149
300256.SZ,20181219,3.35,3.36,3.26,3.27,3.34,-0.07,-2.0958,91010.5,30163.884
300256.SZ,20181220,3.26,3.31,3.25,3.28,3.27,0.01,0.3058,104824.5,34410.788
300256.SZ,20181221,3.27,3.33,3.23,3.25,3.28,-0.03,-0.9146,109431.71,35800.146
300256.SZ,20181224,3.23,3.24,3.15,3.18,3.25,-0.07,-2.1538,141477.0,45027.153
300256.SZ,20181225,3.12,3.14,2.92,3.07,3.18,-0.11,-3.4591,263277.5,79280.426
300256.SZ,20181226,3.06,3.08,3.0,3.04,3.07,-0.03,-0.9772,128232.85,39087.448
300256.SZ,20181227,3.1,3.1,2.95,2.95,3.04,-0.09,-2.9605,124982.5,38007.972
300256.SZ,20181228,2.96,3.03,2.95,2.97,2.95,0.02,0.678,89781.87,26780.047
300256.SZ,20190102,2.99,3.02,2.96,2.99,2.97,0.02,0.6734,83014.5,24879.755
300256.SZ,20190103,3.0,3.06,2.98,3.0,2.99,0.01,0.3344,91987.0,27740.274
300256.SZ,20190104,2.98,3.1,2.94,3.09,3.0,0.09,3.0,142369.0,43445.495
300256.SZ,20190107,3.12,3.24,3.1,3.21,3.09,0.12,3.8835,183374.06,58326.701
300256.SZ,20190108,3.19,3.3,3.17,3.29,3.21,0.08,2.4922,232166.5,74996.875
300256.SZ,20190109,3.27,3.36,3.21,3.23,3.29,-0.06,-1.8237,247911.5,81508.345
300256.SZ,20190110,3.23,3.46,3.22,3.38,3.23,0.15,4.644,412216.02,138201.179
300256.SZ,20190111,3.34,3.42,3.32,3.36,3.38,-0.02,-0.5917,202061.5,67789.995
300256.SZ,20190114,3.37,3.42,3.29,3.33,3.36,-0.03,-0.8929,142539.5,47672.706
300256.SZ,20190115,3.32,3.45,3.28,3.43,3.33,0.1,3.003,216381.56,72677.627
300256.SZ,20190116,3.4,3.42,3.34,3.37,3.43,-0.06,-1.7493,138478.03,46670.074
300256.SZ,20190117,3.36,3.36,3.25,3.27,3.37,-0.1,-2.9674,143325.0,47285.639
300256.SZ,20190118,3.3,3.32,3.26,3.31,3.27,0.04,1.2232,89664.0,29531.586
300256.SZ,20190121,3.29,3.43,3.29,3.42,3.31,0.11,3.3233,225941.27,76471.048
300256.SZ,20190122,3.39,3.41,3.3,3.38,3.42,-0.04,-1.1696,156053.72,52356.034
300256.SZ,20190123,3.35,3.36,3.29,3.33,3.38,-0.05,-1.4793,93506.43,31086.35
300256.SZ,20190124,3.33,3.4,3.3,3.32,3.33,-0.01,-0.3003,131113.43,43968.164
300256.SZ,20190125,3.31,3.55,3.3,3.37,3.32,0.05,1.506,350352.43,120298.613
300256.SZ,20190128,3.41,3.43,3.3,3.38,3.37,0.01,0.2967,207811.5,69610.832
300256.SZ,20190129,3.5,3.65,3.33,3.38,3.38,0.0,0.0,437500.82,151368.471
300256.SZ,20190130,3.04,3.12,3.04,3.04,3.38,-0.34,-10.0592,403916.58,123356.048
300256.SZ,20190131,2.74,2.88,2.74,2.79,3.04,-0.25,-8.2237,291286.43,81446.105
300256.SZ,20190201,2.82,2.93,2.8,2.93,2.79,0.14,5.0179,133329.81,38171.754
300256.SZ,20190211,2.91,3.03,2.9,3.0,2.93,0.07,2.3891,153904.5,45757.171
300256.SZ,20190212,2.99,3.24,2.99,3.16,3.0,0.16,5.3333,274359.2,85649.595
