,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
60,688389.SH,20200102,16.49,16.84,16.37,16.83,16.42,0.41,2.497,28831.09,48040.132
61,688389.SH,20191231,16.34,16.49,16.22,16.42,16.34,0.08,0.4896,15387.43,25237.071
62,688389.SH,20191230,16.25,16.53,16.01,16.34,16.4,-0.06,-0.3659,19639.53,32020.081
63,688389.SH,20191227,16.85,16.98,16.33,16.4,16.89,-0.49,-2.9011,30282.86,50495.26
64,688389.SH,20191226,16.55,16.9,16.4,16.89,16.46,0.43,2.6124,34761.29,58157.688
65,688389.SH,20191225,16.4,16.85,16.31,16.46,16.2,0.26,1.6049,34202.73,56678.387
66,688389.SH,20191224,15.95,16.24,15.95,16.2,15.94,0.26,1.6311,16200.03,26085.437
67,688389.SH,20191223,16.68,16.68,15.68,15.94,16.66,-0.72,-4.3217,30683.69,49846.729
68,688389.SH,20191220,16.62,16.95,16.42,16.66,16.59,0.07,0.4219,40434.22,67702.107
69,688389.SH,20191219,16.98,16.98,16.4,16.59,16.81,-0.22,-1.3087,35300.14,58877.947
70,688389.SH,20191218,16.25,16.81,16.14,16.81,16.16,0.65,4.0223,57325.42,95053.577
71,688389.SH,20191217,16.0,16.23,15.87,16.16,15.97,0.19,1.1897,30646.25,49342.113
72,688389.SH,20191216,15.8,15.97,15.73,15.97,15.75,0.22,1.3968,24788.52,39392.584
73,688389.SH,20191213,16.0,16.05,15.6,15.75,15.85,-0.1,-0.6309,27735.42,43748.276
74,688389.SH,20191212,16.25,16.35,15.83,15.85,16.05,-0.2,-1.2461,31513.05,50692.109
75,688389.SH,20191211,16.55,16.71,16.01,16.05,16.72,-0.67,-4.0072,50112.72,81536.217
76,688389.SH,20191210,15.6,16.82,15.42,16.72,15.61,1.11,7.1108,87811.27,143438.864
77,688389.SH,20191209,15.15,15.66,15.0,15.61,15.11,0.5,3.3091,34763.59,53385.424
78,688389.SH,20191206,15.5,15.53,15.0,15.11,15.47,-0.36,-2.3271,33027.0,50207.285
79,688389.SH,20191205,15.44,15.6,15.31,15.47,15.4,0.07,0.4545,23685.71,36611.327
80,688389.SH,20191204,15.66,15.73,15.37,15.4,15.72,-0.32,-2.0356,29997.98,46535.487
81,688389.SH,20191203,16.0,16.12,15.51,15.72,16.11,-0.39,-2.4209,33963.67,53445.81
82,688389.SH,20191202,16.53,16.53,16.01,16.11,16.34,-0.23,-1.4076,18669.7,30306.481
83,688389.SH,20191129,16.23,16.44,16.03,16.34,16.23,0.11,0.6778,28011.92,45596.516
84,688389.SH,20191128,15.91,16.6,15.91,16.23,16.05,0.18,1.1215,35667.41,57994.674
85,688389.SH,20191127,16.15,16.49,16.0,16.05,15.9,0.15,0.9434,35171.77,57037.214
86,688389.SH,20191126,16.15,16.26,15.71,15.9,16.07,-0.17,-1.0579,25658.79,40991.85
87,688389.SH,20191125,16.69,16.69,15.81,16.07,16.42,-0.35,-2.1315,33507.46,54369.741
88,688389.SH,20191122,16.97,17.19,16.25,16.42,16.88,-0.46,-2.7251,45761.33,76294.227
89,688389.SH,20191121,17.1,17.25,16.73,16.88,17.05,-0.17,-0.9971,39105.46,66352.588
90,688389.SH,20191120,17.2,17.32,17.0,17.05,17.18,-0.13,-0.7567,45876.56,78771.716
91,688389.SH,20191119,16.86,17.3,16.8,17.18,16.75,0.43,2.5672,45449.78,77722.741
92,688389.SH,20191118,17.25,17.44,16.68,16.75,17.08,-0.33,-1.9321,54536.49,92708.218
93,688389.SH,20191115,18.32,18.34,17.08,17.08,18.5,-1.42,-7.6757,84959.55,150962.878
94,688389.SH,20191114,18.66,19.15,18.32,18.5,18.8,-0.3,-1.5957,92880.6,173219.699
95,688389.SH,20191113,18.01,19.19,17.89,18.8,18.43,0.37,2.0076,104415.08,194438.774
96,688389.SH,20191112,19.08,19.44,18.2,18.43,18.51,-0.08,-0.4322,108274.92,203729.347
97,688389.SH,20191111,19.5,19.9,18.1,18.51,20.0,-1.49,-7.45,151062.3,284452.253
98,688389.SH,20191108,21.0,22.44,19.4,20.0,20.08,-0.08,-0.3984,224279.54,471338.407
99,688389.SH,20191107,18.9,21.2,18.68,20.08,18.1,1.98,10.9392,226254.29,447427.799
100,688389.SH,20191106,18.5,19.09,17.98,18.1,19.63,-1.53,-7.7942,153424.08,282404.361
101,688389.SH,20191105,22.0,23.0,19.12,19.63,9.1,10.53,115.7143,297240.75,615519.119
