,exchange,cal_date,is_open
284,SZSE,20181012,1
285,SZSE,20181013,0
286,SZSE,20181014,0
287,SZSE,20181015,1
288,SZSE,20181016,1
289,SZSE,20181017,1
290,SZSE,20181018,1
291,SZSE,20181019,1
292,SZSE,20181020,0
293,SZSE,20181021,0
294,SZSE,20181022,1
295,SZSE,20181023,1
296,SZSE,20181024,1
297,SZSE,20181025,1
298,SZSE,20181026,1
299,SZSE,20181027,0
300,SZSE,20181028,0
301,SZSE,20181029,1
302,SZSE,20181030,1
303,SZSE,20181031,1
304,SZSE,20181101,1
305,SZSE,20181102,1
306,SZSE,20181103,0
307,SZSE,20181104,0
308,SZSE,20181105,1
309,SZSE,20181106,1
310,SZSE,20181107,1
311,SZSE,20181108,1
312,SZSE,20181109,1
313,SZSE,20181110,0
314,SZSE,20181111,0
315,SZSE,20181112,1
316,SZSE,20181113,1
317,SZSE,20181114,1
318,SZSE,20181115,1
319,SZSE,20181116,1
320,SZSE,20181117,0
321,SZSE,20181118,0
322,SZSE,20181119,1
323,SZSE,20181120,1
324,SZSE,20181121,1
325,SZSE,20181122,1
326,SZSE,20181123,1
327,SZSE,20181124,0
328,SZSE,20181125,0
329,SZSE,20181126,1
330,SZSE,20181127,1
331,SZSE,20181128,1
332,SZSE,20181129,1
333,SZSE,20181130,1
334,SZSE,20181201,0
335,SZSE,20181202,0
336,SZSE,20181203,1
337,SZSE,20181204,1
338,SZSE,20181205,1
339,SZSE,20181206,1
340,SZSE,20181207,1
341,SZSE,20181208,0
342,SZSE,20181209,0
343,SZSE,20181210,1
344,SZSE,20181211,1
345,SZSE,20181212,1
346,SZSE,20181213,1
347,SZSE,20181214,1
348,SZSE,20181215,0
349,SZSE,20181216,0
350,SZSE,20181217,1
351,SZSE,20181218,1
352,SZSE,20181219,1
353,SZSE,20181220,1
354,SZSE,20181221,1
355,SZSE,20181222,0
356,SZSE,20181223,0
357,SZSE,20181224,1
358,SZSE,20181225,1
359,SZSE,20181226,1
360,SZSE,20181227,1
361,SZSE,20181228,1
362,SZSE,20181229,0
363,SZSE,20181230,0
364,SZSE,20181231,0
365,SZSE,20190101,0
366,SZSE,20190102,1
367,SZSE,20190103,1
368,SZSE,20190104,1
369,SZSE,20190105,0
370,SZSE,20190106,0
371,SZSE,20190107,1
372,SZSE,20190108,1
373,SZSE,20190109,1
374,SZSE,20190110,1
375,SZSE,20190111,1
376,SZSE,20190112,0
377,SZSE,20190113,0
378,SZSE,20190114,1
379,SZSE,20190115,1
380,SZSE,20190116,1
381,SZSE,20190117,1
382,SZSE,20190118,1
383,SZSE,20190119,0
384,SZSE,20190120,0
385,SZSE,20190121,1
386,SZSE,20190122,1
387,SZSE,20190123,1
388,SZSE,20190124,1
389,SZSE,20190125,1
390,SZSE,20190126,0
391,SZSE,20190127,0
392,SZSE,20190128,1
393,SZSE,20190129,1
394,SZSE,20190130,1
395,SZSE,20190131,1
396,SZSE,20190201,1
397,SZSE,20190202,0
398,SZSE,20190203,0
399,SZSE,20190204,0
400,SZSE,20190205,0
401,SZSE,20190206,0
402,SZSE,20190207,0
403,SZSE,20190208,0
404,SZSE,20190209,0
405,SZSE,20190210,0
406,SZSE,20190211,1
407,SZSE,20190212,1
408,SZSE,20190213,1
409,SZSE,20190214,1
410,SZSE,20190215,1
411,SZSE,20190216,0
412,SZSE,20190217,0
413,SZSE,20190218,1
414,SZSE,20190219,1
415,SZSE,20190220,1
416,SZSE,20190221,1
417,SZSE,20190222,1
418,SZSE,20190223,0
419,SZSE,20190224,0
420,SZSE,20190225,1
421,SZSE,20190226,1
422,SZSE,20190227,1
423,SZSE,20190228,1
424,SZSE,20190301,1
425,SZSE,20190302,0
426,SZSE,20190303,0
427,SZSE,20190304,1
428,SZSE,20190305,1
429,SZSE,20190306,1
430,SZSE,20190307,1
431,SZSE,20190308,1
432,SZSE,20190309,0
433,SZSE,20190310,0
434,SZSE,20190311,1
435,SZSE,20190312,1
436,SZSE,20190313,1
437,SZSE,20190314,1
438,SZSE,20190315,1
439,SZSE,20190316,0
440,SZSE,20190317,0
441,SZSE,20190318,1
442,SZSE,20190319,1
443,SZSE,20190320,1
444,SZSE,20190321,1
445,SZSE,20190322,1
446,SZSE,20190323,0
447,SZSE,20190324,0
448,SZSE,20190325,1
449,SZSE,20190326,1
450,SZSE,20190327,1
451,SZSE,20190328,1
452,SZSE,20190329,1
453,SZSE,20190330,0
454,SZSE,20190331,0
455,SZSE,20190401,1
456,SZSE,20190402,1
457,SZSE,20190403,1
458,SZSE,20190404,1
459,SZSE,20190405,0
460,SZSE,20190406,0
461,SZSE,20190407,0
462,SZSE,20190408,1
463,SZSE,20190409,1
464,SZSE,20190410,1
465,SZSE,20190411,1
466,SZSE,20190412,1
467,SZSE,20190413,0
468,SZSE,20190414,0
469,SZSE,20190415,1
470,SZSE,20190416,1
471,SZSE,20190417,1
472,SZSE,20190418,1
473,SZSE,20190419,1
474,SZSE,20190420,0
475,SZSE,20190421,0
476,SZSE,20190422,1
477,SZSE,20190423,1
478,SZSE,20190424,1
479,SZSE,20190425,1
480,SZSE,20190426,1
481,SZSE,20190427,0
482,SZSE,20190428,0
483,SZSE,20190429,1
484,SZSE,20190430,1
485,SZSE,20190501,0
486,SZSE,20190502,0
487,SZSE,20190503,0
488,SZSE,20190504,0
489,SZSE,20190505,0
490,SZSE,20190506,1
491,SZSE,20190507,1
492,SZSE,20190508,1
493,SZSE,20190509,1
494,SZSE,20190510,1
495,SZSE,20190511,0
496,SZSE,20190512,0
497,SZSE,20190513,1
498,SZSE,20190514,1
499,SZSE,20190515,1
500,SZSE,20190516,1
501,SZSE,20190517,1
502,SZSE,20190518,0
503,SZSE,20190519,0
504,SZSE,20190520,1
505,SZSE,20190521,1
506,SZSE,20190522,1
507,SZSE,20190523,1
508,SZSE,20190524,1
509,SZSE,20190525,0
510,SZSE,20190526,0
511,SZSE,20190527,1
512,SZSE,20190528,1
513,SZSE,20190529,1
514,SZSE,20190530,1
515,SZSE,20190531,1
516,SZSE,20190601,0
517,SZSE,20190602,0
518,SZSE,20190603,1
519,SZSE,20190604,1
520,SZSE,20190605,1
521,SZSE,20190606,1
522,SZSE,20190607,0
523,SZSE,20190608,0
524,SZSE,20190609,0
525,SZSE,20190610,1
526,SZSE,20190611,1
527,SZSE,20190612,1
528,SZSE,20190613,1
529,SZSE,20190614,1
530,SZSE,20190615,0
531,SZSE,20190616,0
532,SZSE,20190617,1
533,SZSE,20190618,1
534,SZSE,20190619,1
535,SZSE,20190620,1
536,SZSE,20190621,1
537,SZSE,20190622,0
538,SZSE,20190623,0
539,SZSE,20190624,1
540,SZSE,20190625,1
541,SZSE,20190626,1
542,SZSE,20190627,1
543,SZSE,20190628,1
544,SZSE,20190629,0
545,SZSE,20190630,0
546,SZSE,20190701,1
547,SZSE,20190702,1
548,SZSE,20190703,1
549,SZSE,20190704,1
550,SZSE,20190705,1
551,SZSE,20190706,0
552,SZSE,20190707,0
553,SZSE,20190708,1
554,SZSE,20190709,1
555,SZSE,20190710,1
556,SZSE,20190711,1
557,SZSE,20190712,1
558,SZSE,20190713,0
559,SZSE,20190714,0
560,SZSE,20190715,1
561,SZSE,20190716,1
562,SZSE,20190717,1
563,SZSE,20190718,1
564,SZSE,20190719,1
565,SZSE,20190720,0
566,SZSE,20190721,0
567,SZSE,20190722,1
568,SZSE,20190723,1
569,SZSE,20190724,1
570,SZSE,20190725,1
571,SZSE,20190726,1
572,SZSE,20190727,0
573,SZSE,20190728,0
574,SZSE,20190729,1
575,SZSE,20190730,1
576,SZSE,20190731,1
577,SZSE,20190801,1
578,SZSE,20190802,1
579,SZSE,20190803,0
580,SZSE,20190804,0
581,SZSE,20190805,1
